ids,target,prediction
11807,-45.04803,-45.117252
11270,-46.00671,-46.054535
1415,-54.0917,-54.18502
17020,-40.96019,-40.92604
12836,-46.28401,-46.284534
2328,-55.0897,-55.10131
10396,-45.39203,-45.410248
1295,-56.08638,-55.961296
15094,-39.71901,-39.702126
5405,-51.57416,-51.586338
6616,-49.97513,-50.01196
1008,-57.14771,-57.065952
6201,-50.44068,-50.60025
6195,-50.86292,-50.91894
7478,-49.78336,-49.776
13600,-46.21482,-46.239826
9712,-49.52884,-49.599598
7539,-49.50464,-49.46144
13975,-44.35858,-44.367428
9328,-50.98922,-51.031002
18186,-40.99282,-41.06216
18419,-39.1682,-39.198986
15436,-42.22998,-42.2709
15965,-40.70204,-40.726856
4276,-56.84683,-56.698044
14514,-46.03963,-46.121727
14802,-45.90232,-46.01879
12267,-45.24655,-45.291203
15962,-39.86655,-39.94297
11277,-46.34548,-46.31987
15602,-39.64614,-39.66005
12401,-45.6095,-45.576294
15495,-41.23969,-41.2824
13779,-45.17591,-45.208412
4416,-56.69868,-56.69013
5476,-48.49919,-48.540382
87,-56.76046,-56.63132
7191,-49.9456,-49.96294
7941,-52.18134,-52.209415
17469,-35.11127,-35.09379
1195,-55.29402,-55.30268
7202,-50.36048,-50.42959
1321,-53.72772,-53.729633
19336,-40.93031,-40.80487
2431,-56.3554,-56.22834
18394,-39.98778,-40.131386
18707,-39.62315,-39.63876
18078,-39.14308,-39.16627
4303,-56.44732,-56.219852
18666,-40.61755,-40.54327
15413,-42.24659,-42.264313
427,-54.53642,-54.484627
8254,-51.30252,-51.400074
8251,-51.42594,-51.45407
4143,-54.32556,-54.324196
11533,-47.12097,-47.133564
19131,-38.43783,-38.396416
11162,-45.21611,-45.255547
1991,-55.58855,-55.5312
16115,-37.25111,-37.215054
2025,-55.02306,-54.979347
12476,-45.64478,-45.695465
8437,-52.04942,-51.93558
4938,-50.90892,-50.95403
13422,-46.23788,-46.195694
18688,-39.95775,-39.936684
1166,-56.10088,-56.09949
18367,-41.43534,-41.310627
3714,-55.52902,-55.483917
19510,-38.91063,-38.974796
11033,-44.94192,-44.9623
6666,-50.21938,-50.24167
17807,-41.22048,-41.233784
3936,-55.87349,-55.78854
5971,-49.95296,-49.949627
1429,-49.25435,-49.23156
392,-55.42809,-55.302574
8714,-51.69518,-51.69362
6155,-50.07804,-50.16826
14263,-46.41518,-46.508766
11055,-46.73079,-46.689472
13108,-46.9909,-47.030697
9509,-50.16936,-50.16783
16216,-40.29409,-40.235233
3046,-55.53716,-55.46583
10792,-44.25097,-44.285427
1538,-55.66807,-55.626038
8537,-49.47449,-49.5248
18294,-41.28474,-41.200966
2674,-56.70388,-56.767452
14919,-42.28097,-42.3883
6855,-51.59771,-51.674026
12026,-44.76189,-44.740513
445,-54.81253,-54.840523
16420,-41.44517,-41.411903
18145,-40.49991,-40.490913
7910,-51.64149,-51.68275
9931,-42.6964,-42.74766
11615,-45.08835,-45.113182
10710,-45.96852,-45.95889
5641,-49.30022,-49.414993
18757,-40.24831,-40.278828
6212,-51.49552,-51.48749
9352,-50.8636,-50.825096
14620,-44.30078,-44.29685
3894,-56.36161,-56.32142
14138,-46.74373,-46.76755
4316,-55.04834,-55.06405
8443,-51.73588,-51.742172
16712,-41.32051,-41.384083
12210,-45.49449,-45.476112
3941,-54.84057,-54.784554
4183,-54.46885,-54.45018
9518,-50.94097,-50.946682
17359,-41.11802,-41.133064
10689,-46.41258,-46.39221
2185,-54.41322,-54.423595
7527,-50.13674,-50.14524
155,-56.25389,-56.13083
15046,-40.30354,-40.315994
3636,-54.34332,-54.30455
7652,-51.09575,-51.116344
19280,-42.59659,-42.574528
14345,-45.83223,-45.843388
367,-54.33289,-54.337433
9024,-49.85415,-49.839966
9691,-50.08983,-50.176315
7884,-52.09801,-52.136806
2916,-56.46453,-56.358948
2645,-53.03981,-52.997902
7811,-52.25682,-52.325397
5798,-48.92018,-48.841118
4959,-49.99347,-50.08777
12507,-44.98959,-45.041504
10666,-46.07791,-46.163895
6255,-50.20613,-50.36477
1641,-55.6514,-55.667774
160,-56.66924,-56.60116
2576,-53.89077,-53.8663
19588,-39.12634,-39.164413
401,-52.92499,-52.91738
12180,-46.40082,-46.514378
9377,-49.51956,-49.513855
3725,-56.93453,-56.79507
9517,-51.55256,-51.46485
6184,-48.88245,-48.81662
12087,-46.89286,-46.95345
16549,-39.61076,-39.719162
6968,-50.07681,-50.1695
7161,-50.87222,-50.82793
12070,-46.80931,-46.911415
3786,-53.9337,-53.790607
1011,-56.905,-56.818035
4271,-56.76447,-56.649944
2907,-56.60379,-56.557087
10816,-47.224,-47.225082
9749,-45.74848,-45.740124
10285,-45.66113,-45.75103
16977,-40.54975,-40.587837
7083,-50.62914,-50.66674
15246,-39.48447,-39.50282
10655,-46.77998,-46.80802
11587,-44.16099,-44.177765
14053,-45.78043,-45.984737
8957,-50.7901,-50.809357
6400,-50.57946,-50.611828
13763,-44.82921,-44.854156
4912,-49.0247,-49.03913
13348,-46.97749,-46.956932
1634,-56.06153,-56.03883
5802,-47.76592,-47.773964
10825,-47.22209,-47.24598
6430,-50.64841,-50.654408
17472,-40.66488,-40.666878
12695,-41.48112,-41.546093
15460,-42.67193,-42.697624
19326,-39.00766,-39.08008
7599,-51.32322,-51.25428
15410,-40.716,-40.70994
18939,-42.64071,-42.66887
16373,-41.13441,-41.046467
13130,-47.19402,-47.21912
3399,-56.65407,-56.477966
12591,-45.48287,-45.422993
13081,-44.17414,-44.17595
5501,-50.08031,-50.14056
14371,-44.69782,-44.733612
4774,-56.09287,-56.069283
15090,-38.24279,-38.28624
19659,-37.78222,-37.846157
10031,-44.64398,-44.59919
14383,-44.23619,-44.19081
5107,-49.82015,-49.93273
1158,-56.79868,-56.763985
12391,-46.1365,-46.127983
19690,-38.59506,-38.633263
13571,-46.94809,-47.01531
12175,-46.98071,-47.08062
14379,-44.58604,-44.695843
6647,-49.57516,-49.493168
9332,-50.90615,-50.98124
14288,-45.71849,-45.740913
6226,-51.79258,-51.775093
4509,-52.6438,-52.513454
5231,-51.24188,-51.245495
17096,-38.59773,-38.664013
1181,-55.50651,-55.481705
10063,-44.65985,-44.671524
10776,-45.12311,-45.14453
13310,-45.71341,-45.865135
10497,-45.374,-45.4523
19581,-39.3355,-39.36193
19099,-41.01855,-40.975155
4807,-50.9996,-51.050808
11203,-45.16843,-45.183743
15915,-41.69247,-41.61308
654,-55.86174,-55.81569
6301,-51.96014,-52.02501
8693,-48.3609,-48.403103
2971,-54.79216,-54.7048
14508,-44.27884,-44.356903
3021,-54.92928,-54.955883
476,-54.99526,-54.985256
831,-54.81892,-54.67702
18107,-41.48813,-41.53316
17675,-37.72291,-37.734215
19078,-37.79166,-37.791527
5098,-49.14788,-49.10965
16180,-40.42301,-40.37909
18627,-41.24577,-41.27215
1097,-55.81556,-55.778522
7696,-50.43124,-50.554028
10947,-45.96751,-46.021984
12910,-44.88128,-44.815224
5067,-51.10371,-51.13255
2817,-54.5046,-54.49073
5315,-50.09313,-50.09263
18112,-40.52613,-40.583614
12049,-46.7257,-46.787582
10890,-44.94848,-44.95833
7041,-51.37982,-51.430862
16660,-41.25504,-41.370323
6200,-50.65164,-50.575027
5076,-50.96538,-50.866936
4725,-56.46371,-56.465057
18579,-39.99159,-39.9147
18240,-40.37944,-40.393234
6070,-48.53382,-48.478733
9060,-50.58039,-50.487755
6303,-51.5251,-51.427357
866,-54.48064,-54.443077
1941,-56.44843,-56.504654
13214,-44.72091,-44.719658
11790,-44.81532,-44.859554
1848,-54.94499,-54.883312
10332,-43.29676,-43.304146
14013,-43.98673,-44.02615
13369,-45.73331,-45.757572
5953,-51.21127,-51.22135
12057,-47.03072,-47.076557
16644,-39.77229,-39.79119
13363,-44.60942,-44.61806
4794,-55.67762,-55.49984
19716,-39.80484,-39.735252
11285,-45.05633,-45.09771
3994,-56.44477,-56.31446
16201,-39.56286,-39.58082
8851,-51.52858,-51.397522
7552,-50.80128,-50.79206
6211,-50.60097,-50.684757
17113,-38.35769,-38.369755
18549,-41.16389,-41.19162
965,-56.03372,-55.90243
475,-56.26015,-56.254913
4027,-55.18812,-55.162617
371,-53.40454,-53.310936
3769,-52.58839,-52.530678
11382,-44.32848,-44.453167
15137,-38.2942,-38.441425
17642,-38.69288,-38.73079
12474,-46.58733,-46.639423
19511,-37.50777,-37.606945
9263,-50.57087,-50.552795
12801,-45.20346,-45.354668
19362,-39.36834,-39.421623
8102,-51.02137,-50.90238
19053,-40.58063,-40.770004
13500,-43.23206,-43.334236
2362,-56.58426,-56.602283
7989,-50.85844,-50.940666
15335,-40.5515,-40.43036
3734,-54.81001,-54.68858
888,-55.56777,-55.716866
6133,-49.95875,-49.97981
1723,-54.17636,-54.193413
9399,-48.51068,-48.53801
5724,-48.09364,-48.096375
4249,-55.9667,-55.900963
15666,-39.14598,-39.206192
7243,-50.97069,-50.97557
18999,-40.61871,-40.584675
13854,-47.22221,-47.231483
14877,-42.30611,-42.362457
6432,-50.63006,-50.729256
3231,-55.76992,-55.849678
12135,-45.4184,-45.47416
17055,-40.84005,-40.887287
5644,-49.01096,-49.124355
2370,-54.60112,-54.625927
6608,-50.61564,-50.71651
18765,-39.7009,-39.75337
2746,-55.90225,-55.75135
232,-54.75788,-54.72107
18807,-38.94437,-38.939484
6218,-52.08452,-52.051205
12638,-46.3891,-46.339966
9997,-45.84592,-45.79911
12929,-44.69718,-44.642426
7184,-48.39716,-48.441154
16371,-40.80519,-40.784145
17941,-40.06616,-39.969772
4219,-55.81396,-55.682644
9960,-44.63411,-44.771454
15077,-39.62519,-39.69434
18418,-39.98856,-40.04215
5396,-49.96032,-50.0323
7846,-51.36075,-51.446022
589,-55.00532,-54.936962
13324,-46.68864,-46.703606
2030,-54.03549,-54.037083
9354,-49.95377,-49.967327
10553,-46.8173,-46.795933
8202,-50.85114,-50.858135
3348,-55.03841,-54.933895
6874,-51.6094,-51.598663
16563,-39.87171,-39.940628
10457,-45.34434,-45.47661
9259,-51.11682,-51.09294
7693,-49.84712,-49.86176
7701,-49.9205,-49.980186
5007,-49.5745,-49.60787
18860,-42.59523,-42.603416
4159,-54.16408,-54.124275
18201,-40.85905,-40.895943
15842,-42.71103,-42.736828
3511,-56.46099,-56.499504
4034,-54.79944,-54.725346
1108,-55.17576,-55.158188
1209,-56.57674,-56.459164
11387,-46.21857,-46.272114
8225,-51.99309,-51.969646
15156,-37.97884,-37.99047
11445,-44.23921,-44.215416
6132,-50.62507,-50.691685
6001,-49.85871,-49.86935
15230,-39.45141,-39.40139
10695,-45.79404,-45.782787
18046,-41.31685,-41.336246
10398,-45.08841,-45.15761
15020,-40.90318,-40.89395
18935,-39.60507,-39.621918
14157,-44.89229,-44.902485
4072,-54.55166,-54.503365
2435,-55.02449,-55.000286
2380,-55.98161,-55.868423
10700,-45.18786,-45.291267
12334,-43.82456,-43.93485
5358,-51.01841,-50.94356
15484,-42.1351,-42.162537
1925,-55.53925,-55.477608
3926,-56.75233,-56.572243
8603,-51.05148,-50.923233
8430,-50.49553,-50.440777
15294,-41.08509,-41.098717
2641,-54.56852,-54.644943
3267,-55.76292,-55.65902
6550,-49.58596,-49.5692
13285,-46.51179,-46.561157
13349,-46.63743,-46.646538
18355,-40.04541,-40.006992
14880,-40.4449,-40.4053
9918,-46.41075,-46.50114
2186,-53.26333,-53.21019
6583,-52.30169,-52.302433
6105,-50.8331,-50.790974
6518,-51.28446,-51.281384
14908,-40.52149,-40.539818
13452,-44.45571,-44.505466
14992,-39.31116,-39.361496
17983,-41.36528,-41.442448
1822,-54.67028,-54.67395
4596,-55.13423,-55.07933
11644,-45.18256,-45.220375
4900,-50.44014,-50.43147
18324,-39.19851,-39.252613
12388,-45.92109,-45.92379
5361,-50.45675,-50.39321
7371,-51.24431,-51.220734
19397,-39.35766,-39.341824
2344,-55.13357,-55.057972
15910,-40.45349,-40.41201
6160,-51.45717,-51.352623
7730,-50.09475,-50.149487
19343,-40.93095,-40.83492
8833,-52.05319,-52.15761
9552,-50.69561,-50.754803
10678,-46.87343,-46.840088
7689,-49.75453,-49.736046
11536,-46.801,-46.772793
13727,-46.82706,-46.9112
12050,-45.41358,-45.50426
13254,-47.17306,-47.19173
310,-55.90937,-55.91529
6327,-51.29145,-51.2944
14264,-47.04665,-47.08324
12847,-47.01444,-46.99249
16640,-40.95383,-41.02562
17665,-40.87331,-40.978703
4506,-52.72759,-52.700027
18546,-40.57705,-40.53288
7069,-47.55943,-47.630672
18709,-39.50165,-39.399086
6080,-49.1238,-49.07548
7631,-52.03503,-52.001663
16568,-40.27645,-40.33802
16719,-41.34162,-41.347496
16193,-39.98783,-39.90614
4459,-55.35079,-55.283653
13195,-45.10953,-45.207726
17436,-40.51863,-40.538094
6520,-50.49121,-50.51411
4686,-56.14302,-56.04218
9515,-49.57866,-49.59832
19454,-40.4755,-40.485523
19171,-37.93508,-37.9791
14686,-43.98949,-44.014084
18809,-33.86727,-33.85829
15238,-38.42533,-38.410355
970,-54.48642,-54.48314
15310,-40.08335,-40.165924
19192,-39.82873,-39.80154
11930,-44.02694,-44.13561
6805,-49.61866,-49.668358
14807,-43.2564,-43.314507
14838,-42.9439,-42.940063
14233,-44.54137,-44.564793
5849,-51.68364,-51.725677
1876,-55.04086,-55.01736
15307,-40.90531,-40.909725
9274,-51.36051,-51.33362
8539,-49.64484,-49.586884
8872,-50.77313,-50.69397
11395,-46.91313,-46.89952
14888,-42.59763,-42.618446
1516,-52.4017,-52.386745
13173,-45.69821,-45.645412
2308,-52.28114,-52.262177
12837,-46.26017,-46.30331
14775,-43.69369,-43.880642
15904,-40.48914,-40.47602
10914,-46.92409,-46.97932
17633,-40.72501,-40.7091
18792,-39.70522,-39.745792
16000,-40.48432,-40.48382
4988,-51.00763,-51.035473
4211,-55.96376,-55.89126
18500,-41.28381,-41.383854
11079,-43.89292,-43.99398
5094,-49.26638,-49.27282
2116,-53.74902,-53.860424
18701,-39.42013,-39.49365
18191,-42.48194,-42.486374
3773,-53.54046,-53.50478
6305,-51.05326,-51.212738
16876,-42.47141,-42.490036
5448,-50.3523,-50.494564
18988,-40.4172,-40.40194
12775,-44.08097,-44.168545
7278,-50.34162,-50.355595
8880,-50.63637,-50.55525
980,-56.67752,-56.608982
6069,-49.94867,-49.838135
6596,-51.55556,-51.63901
2387,-54.95399,-54.85096
13230,-44.13902,-44.195786
4003,-55.55702,-55.530403
1779,-57.14836,-57.11953
3082,-54.40848,-54.479374
10197,-43.92865,-43.95514
10922,-46.91453,-46.905098
5829,-51.60342,-51.61841
13572,-45.60791,-45.5792
13116,-45.94696,-45.989273
8871,-51.70185,-51.692738
10945,-45.80663,-45.777473
643,-55.94303,-55.99002
14542,-44.97529,-44.992165
14057,-45.95098,-45.898014
14757,-43.03282,-42.943752
11160,-43.4707,-43.469498
13823,-47.16451,-47.265648
7950,-51.93748,-51.9633
16380,-42.71182,-42.746098
16991,-40.79235,-40.739616
187,-55.37637,-55.388157
7221,-48.99655,-49.045948
13537,-46.02362,-46.097878
17189,-39.59164,-39.63085
4788,-56.00821,-55.836357
13867,-46.37792,-46.34047
3859,-57.13768,-57.037716
4020,-56.66067,-56.618988
1577,-55.46128,-55.307453
3005,-55.1984,-55.22204
3277,-54.94048,-54.883663
7895,-52.27453,-52.305782
19416,-40.5025,-40.521976
16397,-38.48859,-38.442944
17063,-39.98789,-40.002087
19600,-39.34886,-39.291416
15121,-36.86863,-36.863167
528,-55.90062,-55.769512
4375,-55.62075,-55.669086
11454,-44.44752,-44.438396
5875,-49.39492,-49.44006
12738,-44.8197,-44.782845
11355,-45.22567,-45.251377
12195,-46.80807,-46.800007
3890,-57.36007,-57.284935
10470,-44.51957,-44.51351
9026,-51.00672,-50.915375
8011,-50.60142,-50.660976
8204,-50.66112,-50.644497
5197,-51.07271,-51.154533
14923,-42.48232,-42.454002
4618,-55.83538,-55.73353
16720,-41.06806,-41.123394
18798,-37.39778,-37.413013
6985,-47.9706,-48.03029
19338,-40.15468,-40.157707
4589,-56.54041,-56.503193
4348,-57.10968,-57.06735
11721,-46.24164,-46.190765
18453,-40.9741,-40.978394
1519,-54.83781,-54.78528
5660,-49.11922,-49.089626
9023,-49.02586,-49.04487
18061,-41.59619,-41.651375
15030,-37.95097,-38.061718
9363,-50.83466,-50.833466
358,-54.508,-54.459137
10035,-44.25606,-44.309128
15831,-40.66788,-40.644474
13677,-44.4053,-44.428715
13950,-44.8666,-44.850243
7734,-51.27301,-51.297264
13267,-45.57118,-45.54331
13620,-45.53469,-45.576134
3362,-56.84744,-56.837368
5470,-50.58938,-50.617615
14959,-38.82827,-38.873352
5990,-50.29221,-50.32561
13149,-45.582,-45.606773
10402,-45.59996,-45.63223
16449,-40.8055,-40.74673
1667,-56.63028,-56.566692
3431,-53.73512,-53.757084
4991,-50.9801,-50.994007
12005,-42.79291,-42.86889
3331,-55.35874,-55.328533
3027,-56.29591,-56.273117
9769,-49.10757,-49.14159
16827,-41.6982,-41.730835
17621,-38.94183,-38.97954
19607,-40.74919,-40.787228
9310,-50.55621,-50.502266
4718,-56.19805,-56.040695
1101,-56.36085,-56.279045
3650,-53.63637,-53.521034
418,-56.5251,-56.54998
7508,-51.04297,-51.064636
7863,-51.98141,-52.00769
18300,-41.35955,-41.365932
12903,-45.30632,-45.332848
5675,-50.82286,-50.786514
2016,-56.05763,-55.984142
19698,-39.5238,-39.514526
19478,-41.27553,-41.290653
10387,-46.80812,-46.925896
7353,-49.94485,-49.927055
3576,-56.27116,-56.347084
6225,-51.1664,-51.175392
883,-55.85529,-55.84131
19342,-41.33812,-41.41025
2892,-56.84966,-56.747578
17888,-42.23955,-42.31415
11069,-45.47584,-45.52826
2248,-55.57168,-55.503563
6799,-50.33063,-50.393883
11854,-47.01965,-47.03881
15593,-39.89378,-39.93633
12959,-45.83129,-45.88366
9302,-50.62943,-50.728394
4376,-56.02537,-55.908928
10039,-44.01027,-43.943996
2792,-54.24974,-54.16846
9542,-51.13168,-51.111927
7000,-51.30812,-51.353462
13770,-44.50352,-44.545116
14389,-44.82556,-44.893616
2611,-54.34616,-54.36512
14606,-44.8525,-44.94575
4691,-53.71043,-53.634247
8371,-49.56997,-49.55341
12630,-44.1654,-44.14193
3410,-55.0204,-54.931965
18193,-42.94274,-42.94468
13881,-45.76937,-45.806175
2983,-54.85658,-54.847916
5723,-50.06496,-50.029907
8889,-50.58687,-50.710793
14552,-46.88405,-46.9122
4529,-54.55871,-54.436203
7075,-51.40117,-51.345997
15103,-40.41876,-40.439472
4941,-50.87511,-50.878254
2215,-54.40595,-54.31203
6498,-50.84352,-50.83997
1905,-54.49878,-54.403908
10799,-44.68473,-44.66323
19413,-40.50077,-40.55212
258,-55.43025,-55.411003
986,-55.23661,-55.17152
311,-56.32306,-56.284115
10214,-45.18179,-45.233837
2615,-54.34109,-54.27567
16777,-41.19321,-41.176247
10992,-45.08308,-45.175488
10571,-47.10309,-47.14645
10977,-46.25436,-46.219666
8278,-49.67535,-49.67172
12455,-45.32526,-45.36572
15461,-42.30953,-42.289192
12668,-45.63602,-45.706074
5767,-48.89891,-48.93844
17151,-40.55138,-40.560925
10885,-46.41175,-46.49319
10121,-45.7776,-45.840572
8026,-51.16631,-51.149376
8564,-51.34454,-51.3922
4654,-55.69645,-55.572067
17743,-39.67703,-39.764194
12561,-46.90663,-46.841908
6497,-50.40071,-50.366444
6977,-50.28452,-50.224304
3666,-54.6031,-54.53607
15961,-40.34771,-40.388145
2849,-55.67365,-55.562218
15129,-38.85491,-38.932423
12728,-44.96305,-45.000546
15932,-40.60374,-40.60624
9198,-50.19666,-50.26379
119,-54.99672,-54.982765
13261,-45.31901,-45.314808
9885,-46.98038,-46.96891
12056,-44.16833,-44.230553
18428,-39.74819,-39.791145
13139,-44.64182,-44.640133
14248,-45.75538,-45.74542
7673,-50.20232,-50.26254
19519,-36.7158,-36.762287
533,-54.79538,-54.938934
1766,-54.56862,-54.489315
9249,-49.89795,-49.88362
833,-55.63127,-55.53615
13756,-45.19009,-45.19795
2064,-53.4539,-53.432858
4594,-56.09476,-56.08155
13392,-45.40912,-45.4461
17681,-40.02769,-39.98026
3095,-55.24205,-55.202553
2218,-53.73195,-53.586227
10263,-43.92545,-44.074604
16393,-40.56901,-40.608738
12937,-42.83684,-42.857258
5658,-49.12012,-49.199623
1147,-56.40226,-56.37475
4424,-56.341,-56.349503
8570,-50.34611,-50.334557
6510,-51.26552,-51.26317
2695,-54.96671,-54.975105
12623,-45.73153,-45.753506
17384,-40.6075,-40.516426
2696,-55.30973,-55.194824
19146,-39.73216,-39.728333
18094,-41.28283,-41.290234
19473,-40.99743,-40.98727
18961,-42.47857,-42.488766
8703,-50.92434,-50.943592
17149,-39.17877,-39.2742
133,-56.93813,-56.86297
7594,-49.58192,-49.498203
18111,-40.107,-40.177788
6572,-48.96288,-49.020332
5257,-51.64985,-51.54242
9382,-49.75727,-49.81919
14879,-41.05777,-41.046425
11358,-45.326,-45.40313
227,-55.2271,-55.164677
18863,-42.48123,-42.504784
1977,-57.20011,-57.19895
14,-56.94473,-56.843037
16029,-40.92167,-40.950172
13749,-45.54205,-45.567566
17136,-40.32226,-40.307976
13148,-45.37221,-45.32035
10084,-46.32647,-46.282715
7570,-48.67835,-48.638702
14626,-46.66889,-46.704227
421,-54.83331,-54.763786
18357,-40.54038,-40.518227
8588,-48.59358,-48.755013
7177,-50.63391,-50.57689
4586,-54.75263,-54.771755
6705,-49.49773,-49.52443
4884,-51.18443,-51.167587
3710,-54.7137,-54.78272
4205,-55.07405,-54.93302
501,-55.62421,-55.53178
6484,-51.52801,-51.47068
13925,-44.85106,-44.872498
16470,-41.38688,-41.46229
5478,-47.70074,-47.825375
19168,-41.72307,-41.795147
14990,-38.01911,-38.09542
6925,-50.82292,-50.683975
17016,-40.25813,-40.289524
2110,-55.97209,-55.87311
17069,-40.4846,-40.489746
6566,-49.18579,-49.196632
3183,-55.01958,-54.899826
4136,-53.30195,-53.191566
19539,-39.36745,-39.40877
16189,-40.04784,-40.128807
12839,-46.3423,-46.420666
8915,-48.94767,-48.851383
13249,-44.8101,-44.882694
901,-55.32357,-55.234215
7441,-50.66991,-50.77309
11601,-45.77843,-45.87004
644,-53.65844,-53.659275
16251,-37.66533,-37.71783
1900,-54.70014,-54.65244
3750,-53.88906,-53.762417
3984,-57.06191,-57.03724
14789,-40.82628,-40.84071
12345,-42.29306,-42.366634
7513,-49.18398,-49.23728
12618,-46.87088,-46.94256
14604,-45.76266,-45.789253
19191,-39.46916,-39.51774
7495,-51.74487,-51.66238
15583,-38.46271,-38.41438
16300,-40.31629,-40.309322
12500,-46.05263,-46.078598
201,-56.85079,-56.700615
7341,-50.79881,-50.768448
15736,-40.4912,-40.494038
15454,-41.43828,-41.478703
16488,-40.30802,-40.365158
2953,-55.18579,-55.092094
9474,-47.34343,-47.390587
12936,-45.0361,-45.11297
12169,-47.37121,-47.381943
3210,-55.97326,-55.942432
14174,-45.3672,-45.398384
10403,-45.94135,-45.988796
3648,-54.90124,-54.823093
8338,-50.69669,-50.80702
13337,-46.59782,-46.623394
12212,-45.91036,-45.87557
11261,-46.32223,-46.26648
3464,-53.80577,-53.72586
12126,-46.51803,-46.4869
10265,-45.70766,-45.806755
2640,-54.92857,-54.951668
11460,-44.85412,-44.84082
3073,-56.33338,-56.27103
2998,-56.55056,-56.490982
17803,-39.08353,-39.011936
14366,-45.66387,-45.64055
580,-54.77791,-54.761524
6488,-51.35137,-51.24227
1093,-53.63088,-53.566334
19303,-38.12775,-38.198677
2480,-55.02371,-55.02581
12672,-45.1421,-45.198284
4443,-55.7923,-55.73097
12379,-45.21916,-45.234055
5586,-50.42792,-50.49627
7304,-52.0129,-51.92381
1886,-53.17994,-53.175667
8212,-51.3881,-51.35522
13655,-46.4028,-46.402485
12188,-46.95758,-46.98557
16990,-40.94062,-40.922806
7909,-51.35032,-51.335167
8483,-46.74187,-46.814728
3711,-55.33802,-55.328125
4671,-55.42144,-55.379944
19084,-38.87505,-38.977554
369,-53.58562,-53.447758
3981,-57.04224,-57.01796
4288,-56.28359,-56.281567
3872,-56.27819,-56.31779
10545,-45.76805,-45.75696
14349,-43.86421,-43.81584
6470,-50.60897,-50.644096
12231,-45.71261,-45.77312
45,-56.23391,-56.14239
17066,-40.94189,-40.886616
13245,-45.75933,-45.767963
14800,-44.77393,-44.776325
10718,-46.01733,-46.02434
4232,-55.55317,-55.50763
10673,-46.0906,-46.15517
4768,-53.45788,-53.453236
14318,-46.81706,-46.823387
4295,-55.9888,-55.848114
7675,-51.4793,-51.421906
12684,-45.7725,-45.83895
14840,-42.71826,-42.736366
5905,-50.30579,-50.297997
492,-56.08505,-56.021774
7405,-51.90344,-51.789486
171,-55.54823,-55.57471
14463,-46.3637,-46.35702
13314,-46.56618,-46.582615
5597,-49.12619,-49.153046
18872,-40.82659,-40.89581
14400,-45.40579,-45.417496
10194,-43.57614,-43.69155
1715,-54.14513,-54.15036
4228,-56.49846,-56.47297
3532,-56.16839,-56.103237
4915,-48.22293,-48.292843
5746,-47.88933,-47.923897
8769,-50.29838,-50.35997
18210,-40.76025,-40.746357
4936,-51.5026,-51.52135
17392,-40.3917,-40.469913
3849,-57.16156,-57.075977
5601,-50.44834,-50.43507
996,-55.74498,-55.60442
8116,-47.96208,-48.046375
3380,-56.28614,-56.11941
1137,-55.5818,-55.649063
3225,-56.08828,-56.068523
15213,-40.50387,-40.537502
14538,-45.32473,-45.47756
19415,-41.3877,-41.367302
13102,-46.86233,-46.92044
13423,-45.66665,-45.710007
14156,-45.72114,-45.71678
17956,-38.83325,-38.835464
